-331;-243
-330;-248
-338;-255
-339;-260
-359;-271
-353;-286
-364;-289
-362;-293
-370;-309
-379;-328
-381;-355
-378;-380
-370;-425
-358;-437
-367;-437
-358;-456
-365;-456
-374;-470
-363;-481
-372;-485
-384;-490
-390;-500
-395;-505
-404;-510
-404;-512
-405;-515
-418;-518
-421;-451
-382;-253
-324;-144
-260;44
-181;80
-110;90
-67;88
-53;92
-86;112
-133;145
-151;185
-153;254
-144;275
-109;288
-100;300
-96;307
-106;303
-93;299
-97;287
-81;270
-86;256
-87;208
-64;194
-74;195
-66;206
-42;213
-29;210
-23;203
-6;195
46;96
46;96
88;38
98;-104
106;-148
112;-173
113;-178
110;-174
127;-167
128;-162
140;-160
134;-164
132;-164
120;-161
110;-150
98;-136
93;-110
88;-84
81;-59
79;-34
76;-15
70;11
66;11
54;38
47;51
39;62
24;73
21;77
14;78
14;82
-4;86
-2;88
-5;88
3;90
2;88
1;88
14;85
15;85
22;80
30;75
35;45
37;37
46;30
52;32
53;23
47;12
44;-6
41;-26
42;-37
29;-43
21;-40
22;-45
13;-47
4;-48
1;-40
1;-37
-15;-30
-20;-19
-29;-11
-31;5
