time left right acc
16.50 -331 336 1
16.52 -331 336 0
16.53 -331 335 0
16.55 -331 335 0
16.57 -331 336 0
16.58 -331 336 0
16.60 -331 336 0
16.62 -330 336 0
16.63 -330 336 0
16.65 -329 337 0
16.67 -329 337 0
16.68 -329 337 0
16.70 -329 338 0
16.72 -328 338 0
16.73 -328 338 0
16.75 -328 338 0
16.77 -328 338 0
16.78 -328 339 0
16.80 -327 340 0
16.82 -327 340 0
16.83 -327 340 0
16.85 -326 341 0
16.87 -327 342 0
16.88 -328 342 1
16.90 -326 342 1
16.92 -326 342 0
16.93 -325 342 0
16.95 -324 343 0
16.97 -324 343 0
16.98 -323 343 0
17.00 -322 344 1
17.02 -322 342 1
17.03 -321 342 0
17.05 -321 343 0
17.07 -321 342 0
17.08 -321 342 0
17.10 -321 342 0
17.12 -321 342 0
17.13 -322 342 0
17.15 -322 342 0
17.17 -322 341 0
17.18 -322 341 0
17.20 -322 341 0
17.22 -322 340 0
17.23 -322 340 0
17.25 -323 340 1
17.27 -323 337 3
17.28 -323 335 1
17.30 -323 335 0
17.32 -323 335 0
17.33 -323 336 0
17.35 -323 335 0
17.37 -323 335 0
17.38 -323 336 0
17.40 -323 336 0
17.42 -322 335 0
17.43 -322 335 0
17.45 -321 335 0
17.47 -322 334 0
17.48 -322 334 0
17.50 -322 334 0
17.52 -322 333 0
17.53 -323 333 0
17.55 -324 332 0
17.57 -324 332 0
17.58 -324 330 1
17.60 -324 330 0
17.62 -324 331 0
17.63 -324 331 0
17.65 -324 331 0
17.67 -324 331 0
17.68 -324 331 0
17.70 -324 332 0
17.72 -324 332 0
17.73 -324 332 0
17.75 -324 333 0
17.77 -323 333 0
17.78 -323 333 0
17.80 -323 334 0
17.82 -323 334 0
17.83 -322 334 0
17.85 -322 335 0
17.87 -321 335 0
17.88 -321 336 0
17.90 -321 336 0
17.92 -321 336 0
17.93 -320 337 0
17.95 -320 338 0
17.97 -320 338 0
17.98 -320 338 0
18.00 -320 338 0
18.02 -320 338 0
18.03 -320 338 0
18.05 -320 339 0
18.07 -319 339 0
18.08 -318 340 1
18.10 -317 339 0
18.12 -316 339 0
18.13 -316 339 0
18.15 -315 339 0
18.17 -315 338 0
18.18 -315 338 0
18.20 -315 337 0
18.22 -314 337 0
18.23 -314 337 0
18.25 -314 336 0
18.27 -313 336 0
18.28 -314 336 0
18.30 -314 336 0
18.32 -314 335 0
18.33 -314 337 1
18.35 -315 339 1
18.37 -315 338 0
18.38 -315 338 0
18.40 -315 337 0
18.42 -315 336 1
18.43 -316 336 0
18.45 -315 334 1
18.47 -314 332 1
18.48 -314 332 0
18.50 -313 331 0
18.52 -313 331 0
18.53 -314 331 0
18.55 -314 330 0
18.57 -314 330 0
18.58 -315 330 0
18.60 -315 329 0
18.62 -315 329 0
18.63 -316 328 0
18.65 -316 331 2
18.67 -316 333 2
18.68 -317 333 0
18.70 -317 332 0
18.72 -317 331 0
18.73 -317 330 0
18.75 -317 331 0
18.77 -317 329 1
18.78 -317 328 1
18.80 -317 329 0
18.82 -316 329 0
18.83 -316 329 0
18.85 -315 330 0
18.87 -315 330 0
18.88 -313 331 1
18.90 -312 331 1
18.92 -312 331 0
18.93 -312 331 0
18.95 -312 332 0
18.97 -313 332 0
18.98 -312 332 0
19.00 -313 333 0
19.02 -313 333 0
19.03 -313 334 0
19.05 -312 334 0
19.07 -312 334 0
19.08 -312 334 0
19.10 -311 334 0
19.12 -311 334 0
19.13 -312 335 1
19.15 -313 334 0
19.17 -312 334 0
19.18 -311 334 0
19.20 -311 334 0
19.22 -310 334 0
19.23 -310 334 0
19.25 -308 333 1
19.27 -308 333 0
19.28 -308 333 0
19.30 -308 333 0
19.32 -308 332 0
19.33 -307 332 0
19.35 -307 332 0
19.37 -307 332 0
19.38 -307 331 0
19.40 -308 329 1
19.42 -308 330 1
19.43 -307 331 0
19.45 -307 330 0
19.47 -307 330 0
19.48 -307 330 0
19.50 -307 329 0
19.52 -307 330 0
19.53 -307 328 1
19.55 -307 327 0
19.57 -308 327 0
19.58 -308 327 0
19.60 -308 326 0
19.62 -308 326 0
19.63 -308 325 0
19.65 -308 325 0
19.67 -309 325 0
19.68 -309 324 0
19.70 -309 324 0
19.72 -309 324 0
19.73 -310 320 4
19.75 -310 320 0
19.77 -310 320 0
19.78 -310 320 0
19.80 -310 321 1
19.82 -311 322 0
19.83 -310 321 0
19.85 -311 324 2
19.87 -311 324 0
19.88 -310 324 0
19.90 -310 324 0
19.92 -310 324 0
19.93 -310 325 0
19.95 -310 326 0
19.97 -309 326 0
19.98 -309 326 0
20.00 -309 327 0
20.02 -307 328 1
20.03 -306 328 1
20.05 -307 328 1
20.07 -307 328 0
20.08 -307 329 0
20.10 -307 329 0
20.12 -306 329 0
20.13 -307 329 0
20.15 -307 330 0
20.17 -306 330 1
20.18 -306 330 0
20.20 -305 330 0
20.22 -305 331 0
20.23 -304 329 1
20.25 -303 329 0
20.27 -303 330 0
20.28 -302 329 0
20.30 -301 329 1
20.32 -299 329 2
20.33 -296 328 3
20.35 -292 328 3
20.37 -288 327 4
20.38 -284 326 5
20.40 -278 324 7
20.42 -271 320 9
20.43 -262 311 18
20.45 -248 298 26
20.47 -220 279 46
20.48 -188 254 57
20.50 -157 221 62
20.52 -129 185 63
20.53 -107 147 59
20.55 -85 119 49
20.57 -65 95 43
20.58 -49 67 42
20.60 -37 43 35
20.62 -27 25 28
20.63 -18 11 22
20.65 -9 3 16
20.67 -2 -4 15
20.68 3 -11 13
20.70 7 -13 5
20.72 10 -14 3
20.73 13 -13 2
20.75 14 -12 2
20.77 15 -10 1
20.78 16 -8 1
20.80 15 -7 1
20.82 15 -5 1
20.83 13 -4 2
20.85 12 -3 2
20.87 11 -2 1
20.88 9 -2 1
20.90 7 -1 1
20.92 6 -1 1
20.93 4 -2 1
20.95 3 -2 0
20.97 2 -3 0
20.98 2 -4 0
21.00 2 -5 0
21.02 1 -6 1
21.03 1 -7 0
21.05 1 -8 0
21.07 2 -8 0
21.08 2 -9 0
21.10 2 -9 0
21.12 3 -10 0
21.13 3 -10 0
21.15 3 -10 0
21.17 4 -10 0
21.18 4 -10 0
21.20 4 -11 0
21.22 4 -11 0
